drug_name,medical_condition,side_effects,generic_name,drug_classes,activity,rx_otc,pregnancy_category,related_drugs
teriparatide,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Teriparatide may cause serious side effects. Call your doctor at once if you have: bone pain; new or unusual swelling or lumps under your skin; a light-headed feeling, like you might pass out (may occur within 4 hours after injection); pounding heartbeats or fluttering in your chest after using an injection; or high calcium levels--confusion, muscle weakness, nausea, vomiting, lack of energy, constipation , increased thirst or urination, weight loss . Common side effects of teriparatide may include: nausea; joint pain; or pain anywhere in your body.",teriparatide,Parathyroid hormone and analogs,6%,RX,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|Tymlos
zoledronic acid,Osteoporosis,"hives ; wheezing, chest tightness, trouble breathing; swelling of your face, lips, tongue, or throat. Zoledronic acid may cause serious side effects. Call your doctor at once if you have: new or unusual pain in your thigh or hip; jaw pain or numbness, red or swollen gums, loose teeth, or slow healing after dental work; severe joint, bone, or muscle pain; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired; low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet; or low calcium levels--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes). Serious side effects on the kidneys may be more likely in older adults. Common side effects of zoledronic acid may include: trouble breathing; nausea , vomiting , diarrhea , constipation ; bone pain, muscle or joint pain; fever or other flu symptoms; tiredness; eye pain or swelling; pain in your arms or legs; headache ; or anemia.",zoledronic acid,Bisphosphonates,5%,RX,D,
alendronate / cholecalciferol,Osteoporosis,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Alendronate and cholecalciferol may cause serious side effects. Stop using alendronate and cholecalciferol and call your doctor at once if you have: chest pain, new or worsening heartburn ; difficulty or pain when swallowing; pain or burning under the ribs or in the back; new or worsening heartburn; severe joint, bone, or muscle pain; new or unusual pain in your thigh or hip; or jaw pain, numbness, or swelling. Common side effects of alendronate and cholecalciferol may include: mild heartburn, stomach upset ; diarrhea , gas, constipation ; mild joint or back pain ; or headache .",alendronate and cholecalciferol,Bisphosphonates,4%,RX,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|Tymlos
Fosamax Plus D,Osteoporosis,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Fosamax Plus D and call your doctor at once if you have: chest pain, new or worsening heartburn; difficulty or pain when swallowing; pain or burning under the ribs or in the back; new or worsening heartburn; severe joint, bone, or muscle pain; new or unusual pain in your thigh or hip; or jaw pain, numbness, or swelling. Common Fosamax Plus D side effects may include: mild heartburn, stomach upset; diarrhea, gas, constipation; mild joint or back pain; or headache.",alendronate and cholecalciferol,Bisphosphonates,4%,RX,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|Tymlos
Binosto,Osteoporosis,"hives; wheezing, difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Binosto and call your doctor at once if you have: chest pain, new or worsening heartburn; difficulty or pain when swallowing; pain or burning under the ribs or in the back; severe heartburn, burning pain in your upper stomach, or coughing up blood; new or unusual pain in your thigh or hip; jaw pain, numbness, or swelling; severe joint, bone, or muscle pain; or low calcium levels - muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes). Common Binosto side effects may include: heartburn, upset stomach; stomach pain, nausea; diarrhea, constipation; or bone pain, muscle or joint pain.",alendronate,Bisphosphonates,3%,RX,C,
Miacalcin,Osteoporosis,"hives; fast heartbeats; feeling lightheaded; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; severe nasal irritation; or low levels of calcium in your blood--numbness or tingly feeling around your mouth, fast or slow heart rate, muscle tightness or contraction, overactive reflexes. Common Miacalcin side effects may include: bleeding from your nose; runny or stuffy nose; dryness, itching, tenderness, or general discomfort of your nose; or crusting, scabs, or sores inside your nose.",calcitonin-salmon,Calcitonin,3%,RX,C,furosemide|hydrochlorothiazide|Lasix|alendronate|Prolia|calcium carbonate|Premarin|Fosamax|Reclast|Zometa
Tymlos,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out (may occur within 4 hours after injection); bone pain; unusual body aches; a new or worsening lump or swelling under your skin; pounding heartbeats or fluttering in your chest; high calcium levels - confusion, tiredness, nausea , vomiting, loss of appetite, constipation , increased thirst or urination, weight loss ; or symptoms of a kidney stone - severe pain in your side or lower back, blood in your urine, painful urination. Common Tymlos side effects may include: dizziness, spinning sensation; headache; fast heart rate ; nausea, upper stomach pain; or feeling very tired.",abaloparatide,Parathyroid hormone and analogs,3%,RX,,
Aclasta,Osteoporosis,"urinating less than usual or not at all; muscle spasms, numb or tingly feeling (especially around your mouth); fever, chills, body aches, flu symptoms; pale skin, easy bruising, unusual weakness; or severe joint, bone, or muscle pain. Less serious Aclasta side effects may include: cough; loss of appetite, nausea, vomiting; diarrhea, constipation; headache, dizziness, tired feeling; low blood pressure, swelling in your legs or feet; bone, joint or muscle pain; or redness or swelling where the needle was placed.",zoledronic acid,Bisphosphonates,2%,RX,D,
Prempro,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; signs of a stroke - sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot - sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; swelling or tenderness in your stomach; jaundice (yellowing of the skin or eyes); memory problems, confusion, unusual behavior; unusual vaginal bleeding, pelvic pain ; a lump in your breast; or high levels of calcium in your blood - nausea, vomiting , constipation , increased thirst or urination, muscle weakness, bone pain, lack of energy. Common Prempro side effects may include: nausea, gas, stomach pain; headache, back pain ; depression , weakness; breast pain; itching, thinning scalp hair; or vaginal itching or discharge, changes in your menstrual periods, breakthrough bleeding .",conjugated estrogens and medroxyprogesterone,Sex hormone combinations,2%,RX,X,hydrochlorothiazide|alendronate|estradiol|Prolia|calcium carbonate|Premarin|Estrace|Tymlos|Vagifem|ethinyl estradiol / norethindrone
abaloparatide,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Abaloparatide may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out (may occur within 4 hours after injection); bone pain; unusual body aches; a new or worsening lump or swelling under your skin; pounding heartbeats or fluttering in your chest; high calcium levels--confusion, tiredness, nausea , vomiting, loss of appetite, constipation , increased thirst or urination, weight loss ; or symptoms of a kidney stone--severe pain in your side or lower back, blood in your urine, painful urination. Common side effects of abaloparatide may include: dizziness, spinning sensation; headache; fast heart rate ; nausea, upper stomach pain; or feeling very tired.",abaloparatide,Parathyroid hormone and analogs,1%,RX,,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|Tymlos
Calcitrate with D,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have signs of too much calcium in your body, such as: nausea , vomiting , constipation ; increased thirst or urination; muscle weakness, bone pain; or confusion, lack of energy, or feeling tired. Common side effects of Calcitrate with D may include: an irregular heartbeat ; weakness, drowsiness, headache ; dry mouth, or a metallic taste in your mouth; or muscle or bone pain.",calcium and vitamin D combination,Vitamin and mineral combinations,1%,OTC,C,
calcium gluconate,Osteoporosis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of high calcium levels like weakness, confusion, feeling tired, headache , upset stomach and throwing up, constipation , or bone pain. Calcium gluconate side effects",Calcium Gluconate Capsules and Tablets,Minerals and electrolytes,1%,RX/OTC,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|ergocalciferol|calcitriol|sodium bicarbonate|Caltrate|Kayexalate
calcium lactate,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Calcium lactate may cause serious side effects. Stop using calcium lactate and call your doctor at once if you have: severe nausea, vomiting, or constipation ; or high blood calcium--confusion, tiredness, loss of appetite, increased thirst or urination, weight loss . Common side effects of calcium lactate may include: stomach pain, gas; or constipation.",calcium lactate,Minerals and electrolytes,1%,RX/OTC,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|ergocalciferol|calcitriol|Caltrate|Tymlos
"calcium phosphate, tribasic",Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Calcium phosphate may cause serious side effects. Stop using calcium phosphate and call your doctor at once if you have: severe nausea, vomiting, or constipation ; or high blood calcium--confusion, tiredness, loss of appetite, increased thirst or urination, weight loss ; or symptoms of a kidney stone--severe pain in your side or lower back, blood in your urine, painful urination. Less serious side effects may include: nausea, stomach bloating ; constipation; or gas.","calcium phosphate, tribasic",Minerals and electrolytes,1%,OTC,N,
conjugated estrogens,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Conjugated estrogens may cause serious side effects. Call your doctor at once if you have: heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, sweating; signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, coughing up blood , pain or warmth in one or both legs; swelling, rapid weight gain; jaundice (yellowing of the skin or eyes); memory problems, confusion, unusual behavior; unusual vaginal bleeding, pelvic pain ; a lump in your breast; or high levels of calcium in your blood-- vomiting , constipation , increased thirst or urination, muscle weakness, bone pain, lack of energy. Common side effects of conjugated estrogens may include: swelling; hair loss ; numbness, tingling, burning pain; back pain , leg cramps, pain; bloating , gas, indigestion , nausea , vomiting, stomach pain; dizziness , headache; breast pain; or vaginal itching or discharge, changes in your menstrual periods, breakthrough bleeding .",conjugated estrogens,Estrogens,1%,RX,X,hydrochlorothiazide|alendronate|estradiol|tamoxifen|Prolia|calcium carbonate|Premarin|testosterone|fluorouracil|norethindrone
Os-Cal Calcium+D3,Osteoporosis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Very bad constipation . Os-Cal Calcium+D3 side effects",Calcium and Vitamin D Capsules and Tablets,,1%,OTC,C,
bazedoxifene / conjugated estrogens,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Bazedoxifene and conjugated estrogens may cause serious side effects. Call your doctor at once if you have: heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; sudden vision loss; swelling, rapid weight gain; jaundice (yellowing of the skin or eyes); memory problems, confusion, unusual behavior; unusual vaginal bleeding, pelvic pain ; a lump in your breast; or low calcium level--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes). Common side effects of bazedoxifene and conjugated estrogens may include: dizziness ; nausea, stomach pain or discomfort, diarrhea ; muscle spasm; or throat pain, neck pain .",bazedoxifene and conjugated estrogens,Sex hormone combinations,0%,RX,X,hydrochlorothiazide|alendronate|paroxetine|estradiol|Prolia|calcium carbonate|Premarin|Fosamax|raloxifene|Reclast
Cal-GLU,Osteoporosis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of high calcium levels like weakness, confusion, feeling tired, headache , upset stomach and throwing up, constipation , or bone pain. Cal-GLU side effects",Calcium Gluconate Capsules and Tablets,Minerals and electrolytes,0%,RX/OTC,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|ergocalciferol|calcitriol|sodium bicarbonate|Caltrate|Kayexalate
Cal-Lac,Osteoporosis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Very bad constipation . Very upset stomach or throwing up. Feeling confused. Cal-Lac side effects",Calcium Lactate,Minerals and electrolytes,0%,RX/OTC,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|Tymlos
Calcitrate,Osteoporosis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of high calcium levels like weakness, confusion, feeling tired, headache , upset stomach and throwing up, constipation , or bone pain. Mood changes. Calcitrate side effects",Calcium Citrate,Minerals and electrolytes,0%,RX/OTC,C,
conjugated estrogens / medroxyprogesterone,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Conjugated estrogens and medroxyprogesterone may cause serious side effects. Call your doctor at once if you have: heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; swelling or tenderness in your stomach; jaundice (yellowing of the skin or eyes); memory problems, confusion, unusual behavior; unusual vaginal bleeding, pelvic pain ; a lump in your breast; or high levels of calcium in your blood--nausea, vomiting , constipation , increased thirst or urination, muscle weakness, bone pain, lack of energy. Common side effects of conjugated estrogens and medroxyprogesterone may include: nausea, gas, stomach pain; headache, back pain ; depression , weakness; breast pain; itching, thinning scalp hair; or vaginal itching or discharge, changes in your menstrual periods, breakthrough bleeding .",conjugated estrogens and medroxyprogesterone,Sex hormone combinations,0%,RX,X,hydrochlorothiazide|alendronate|estradiol|Prolia|calcium carbonate|Premarin|Estrace|Prempro|Tymlos|ethinyl estradiol / norethindrone
Duavee,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; signs of a stroke - sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot - sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; sudden vision loss; swelling, rapid weight gain; jaundice (yellowing of the skin or eyes); memory problems, confusion, unusual behavior; unusual vaginal bleeding, pelvic pain ; a lump in your breast; or low calcium level - muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes). Common Duavee side effects may include: dizziness ; nausea, stomach pain or discomfort, diarrhea ; muscle spasm; or throat pain, neck pain .",bazedoxifene and conjugated estrogens,Sex hormone combinations,0%,RX,X,hydrochlorothiazide|alendronate|paroxetine|estradiol|Prolia|calcium carbonate|Premarin|Fosamax|raloxifene|Reclast
esterified estrogens,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Esterified estrogens may cause serious side effects. Stop using esterified estrogens and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot in the lung--chest pain, sudden cough, wheezing, rapid breathing, coughing up blood ; signs of a blood clot in your leg--pain, swelling, warmth, or redness in one or both legs; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; liver problems--severe stomach pain, fever, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); high levels of calcium in your blood--nausea, vomiting , constipation , increased thirst or urination, muscle weakness, bone pain, confusion, lack of energy, or tired feeling; a change in the pattern or severity of migraine headaches; swelling in your hands, ankles, or feet; a breast lump; or severe skin reaction--fever, sore throat , swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common side effects of esterified estrogens may include: light vaginal bleeding or spotting; breast pain or tenderness; nausea, vomiting, bloating ; skin color changes, increased facial hair, thinning scalp hair; headache, dizziness , mood changes, decreased sex drive; vaginal itching or discharge, very light menstrual periods; or problems with contact lenses.",esterified estrogens,Estrogens,0%,RX,X,
estropipate,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Estropipate may cause serious side effects. Call your doctor at once if you have: heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; swelling or tenderness in your stomach; jaundice (yellowing of the skin or eyes); memory problems, confusion, unusual behavior; unusual vaginal bleeding, pelvic pain ; a lump in your breast; or high levels of calcium in your blood--nausea, vomiting , constipation , increased thirst or urination, muscle weakness, bone pain, lack of energy. Common side effects of estropipate may include: headache; vaginal itching or discharge, changes in your menstrual periods, breakthrough bleeding ; bloating , stomach cramps, nausea, vomiting; breast pain; thinning scalp hair; or fluid retention (swelling, rapid weight gain).",estropipate,Estrogens,0%,RX,X,hydrochlorothiazide|alendronate|estradiol|Prolia|calcium carbonate|Premarin|Estrace|Prempro|Tymlos|ethinyl estradiol / norethindrone
Menest,Osteoporosis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of gallbladder problems like pain in the upper right belly area, right shoulder area, or between the shoulder blades; yellow skin or eyes; fever with chills; bloating ; or very upset stomach or throwing up. Signs of high blood pressure like very bad headache or dizziness , passing out, or change in eyesight. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of a pancreas problem ( pancreatitis ) like very bad stomach pain, very bad back pain , or very bad upset stomach or throwing up. Weakness on 1 side of the body, trouble speaking or thinking, change in balance, drooping on one side of the face, or blurred eyesight. Dizziness or passing out. Change in eyesight. Loss of eyesight. Bulging eyes. Change in how contact lenses feel in the eyes. A lump in the breast, breast pain or soreness, or nipple discharge. Breast pain. Vaginal itching or discharge. Vaginal bleeding that is not normal. Low mood ( depression ). Mood changes. Memory problems or loss. Swelling. Call your doctor right away if you have signs of a blood clot like chest pain or pressure; coughing up blood ; shortness of breath; swelling, warmth, numbness , change of color, or pain in a leg or arm; or trouble speaking or swallowing. Menest side effects",Estrogens,Estrogens,0%,RX,X,
Ogen,Osteoporosis,,estropipate,Estrogens,0%,RX,X,hydrochlorothiazide|alendronate|estradiol|Prolia|calcium carbonate|Premarin|Estrace|Prempro|Tymlos|ethinyl estradiol / norethindrone
Os-Cal 500 Chewable,Osteoporosis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Very bad constipation . Os-Cal 500 Chewable side effects",Calcium and Vitamin D Chewable Tablets,,0%,OTC,C,
Os-Cal Extra D3,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have signs of too much calcium in your body, such as: nausea , vomiting , constipation ; increased thirst or urination; muscle weakness, bone pain; or confusion, lack of energy, or feeling tired. Common side effects of Os-Cal Extra D3 may include: an irregular heartbeat ; weakness, drowsiness, headache ; dry mouth, or a metallic taste in your mouth; or muscle or bone pain.",calcium and vitamin D combination,,0%,OTC,C,
Oystercal-D,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have signs of too much calcium in your body, such as: nausea , vomiting , constipation ; increased thirst or urination; muscle weakness, bone pain; or confusion, lack of energy, or feeling tired. Common side effects of Oystercal-D may include: an irregular heartbeat ; weakness, drowsiness, headache ; dry mouth, or a metallic taste in your mouth; or muscle or bone pain.",calcium and vitamin D combination,Vitamin and mineral combinations,0%,OTC,C,
Posture,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Calcium phosphate may cause serious side effects. Stop using calcium phosphate and call your doctor at once if you have: severe nausea, vomiting, or constipation ; or high blood calcium--confusion, tiredness, loss of appetite, increased thirst or urination, weight loss ; or symptoms of a kidney stone--severe pain in your side or lower back, blood in your urine, painful urination. Less serious side effects may include: nausea, stomach bloating ; constipation; or gas.","calcium phosphate, tribasic",Minerals and electrolytes,0%,OTC,N,
Premarin Intravenous,Osteoporosis,,conjugated estrogens,Estrogens,0%,RX,X,
Premphase,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Premphase may cause serious side effects. Call your doctor at once if you have: heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; swelling or tenderness in your stomach; jaundice (yellowing of the skin or eyes); memory problems, confusion, unusual behavior; unusual vaginal bleeding, pelvic pain ; a lump in your breast; or high levels of calcium in your blood--nausea, vomiting , constipation , increased thirst or urination, muscle weakness, bone pain, lack of energy. Common side effects of Premphase may include: nausea, gas, stomach pain; headache, back pain ; depression , weakness; breast pain; itching, thinning scalp hair; or vaginal itching or discharge, changes in your menstrual periods, breakthrough bleeding .",conjugated estrogens and medroxyprogesterone,Sex hormone combinations,0%,RX,X,hydrochlorothiazide|alendronate|estradiol|Prolia|calcium carbonate|Premarin|Estrace|Prempro|Tymlos|ethinyl estradiol / norethindrone
romosozumab,Osteoporosis,"chest pain or pressure, shortness of breath, feeling light-headed, sudden numbness or weakness, problems with vision or speech, or loss of balance. Romosozumab may cause serious side effects. Call your doctor at once if you have: new or unusual pain in your thigh, hip, or groin; jaw pain or numbness; red or swollen gums, loose teeth, infected gums; or low calcium level--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes). Common side effects of romosozumab may include: headache ; or joint pain.",romosozumab,Miscellaneous bone resorption inhibitors,0%,RX,,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|Tymlos
UPCal D,Osteoporosis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have signs of too much calcium in your body, such as: nausea , vomiting , constipation ; increased thirst or urination; muscle weakness, bone pain; or confusion, lack of energy, or feeling tired. Common side effects of UpCal D may include: an irregular heartbeat ; weakness, drowsiness, headache ; dry mouth, or a metallic taste in your mouth; or muscle or bone pain.",calcium and vitamin D combination,Vitamin and mineral combinations,0%,OTC,C,hydrochlorothiazide|alendronate|Prolia|calcium carbonate|Premarin|acetylcysteine|ascorbic acid|biotin|multivitamin|Zinc
oxycodone,Pain,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Opioid medicine, including oxycodone, can slow or stop your breathing, and death may occur. A person caring for you should give naloxone and/or seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Call your doctor at once if you have: noisy breathing, sighing, shallow breathing, breathing that stops during sleep; a slow heart rate or weak pulse; cold, clammy skin; a light-headed feeling, like you might pass out; confusion, unusual thoughts or behavior; seizure (convulsions); low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or high levels of serotonin in the body - agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, diarrhea. Serious breathing problems may be more likely in older adults and in those who are debilitated or have wasting syndrome or chronic breathing disorders. Long-term use of opioid medication, such as oxycodone, may affect fertility (ability to have children) in men or women. It is not known whether opioid effects on fertility are permanent. Common oxycodone side effects may include: drowsiness, dizziness, tiredness; headache ; constipation , stomach pain, nausea, vomiting; or itching, red eyes, or flushing.",oxycodone,Opioids (narcotic analgesics),52%,RX,N,Buprenex|Subutex|aspirin|acetaminophen|ibuprofen|tramadol|duloxetine|Tylenol|naproxen|Cymbalta
acetaminophen,Pain,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal, even if you took acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. Stop taking acetaminophen and call your doctor at once if you have signs of liver problems: stomach pain (upper right side); loss of appetite; tiredness, itching; dark urine, clay-colored stools; or jaundice (yellowing of the skin or eyes). Less serious acetaminophen side effects may be more likely, and you may have none at all.",acetaminophen,Miscellaneous analgesics,51%,RX/OTC,C,
hydrocodone,Pain,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should give naloxone and/or seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Stop using hydrocodone and call your doctor at once if you have: noisy breathing, sighing, shallow breathing, breathing that stops during sleep; a slow heart rate or weak pulse; pain or burning when you urinate; confusion, tremors, severe drowsiness; a light-headed feeling, like you might pass out; low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or high levels of serotonin in the body - agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, diarrhea. Serious breathing problems may be more likely in older adults and in those who are debilitated or have wasting syndrome or chronic breathing disorders. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea . Long-term use of opioid medication may affect fertility (ability to have children) in men or women. It is not known whether opioid effects on fertility are permanent. Common hydrocodone side effects may include: constipation , nausea, vomiting; dizziness, drowsiness, feeling tired; headache ; or cold symptoms such as stuffy nose, sneezing, sore throat .",hydrocodone,Antitussives|Opioids (narcotic analgesics),46%,RX,C,Buprenex|aspirin|acetaminophen|tramadol|Tylenol|naproxen|oxycodone
